year,avg_temp
1764,47.12
1765,46.85
1766,47.14
1767,46.8
1768,44.2
1769,45.84
1770,45.84
1771,46.13
1772,46.74
1773,46.8
1774,47.79
1775,48.52
1776,46.94
1777,46.87
1778,47.37
1779,48.16
1780,48.97
1781,46.58
1782,46.22
1783,45.82
1784,46.15
1785,45.25
1786,46.87
1787,46.45
1788,47.21
1789,46.99
1790,46.36
1791,46.81
1792,46.56
1793,46.81
1794,47.35
1795,47.03
1796,46.89
1797,47.32
1798,47.61
1799,47.32
1800,47.26
1801,47.46
1802,47.44
1803,47.3
1804,47.91
1805,47.41
1806,47.17
1807,46.9
1808,45.73
1809,44.74
1810,44.46
1811,44.35
1812,44.69
1813,45.93
1814,45.66
1815,45.03
1816,44.49
1817,44.56
1818,46.09
1819,45.27
1820,45.72
1821,46.56
1822,46.74
1823,45.9
1824,47.39
1825,47.1
1826,47.05
1827,47.86
1828,46.71
1829,46.29
1830,47.34
1831,45.75
1832,45.41
1833,46.42
1834,46.67
1835,45.3
1836,45.86
1837,45.28
1838,45.52
1839,45.73
1840,46.04
1841,45.84
1842,46.44
1843,46.71
1844,45.77
1845,46.13
1846,47.39
1847,46.56
1848,46.36
1849,46.36
1850,46.22
1851,46.72
1852,46.58
1853,46.47
1854,46.78
1855,46.6
1856,46.4
1857,45.97
1858,46.58
1859,46.85
1860,46.33
1861,46.13
1862,45.61
1863,46.6
1864,46.36
1865,46.72
1866,46.92
1867,47.19
1868,46.85
1869,47.17
1870,46.76
1871,46.62
1872,46.74
1873,47.03
1874,47.17
1875,46.15
1876,46.54
1877,47.37
1878,47.89
1879,46.71
1880,46.62
1881,46.89
1882,46.63
1883,46.36
1884,45.99
1885,46.26
1886,46.31
1887,46.24
1888,46.56
1889,46.98
1890,46.35
1891,46.44
1892,46.53
1893,46.51
1894,46.69
1895,46.67
1896,46.78
1897,46.92
1898,46.72
1899,47.12
1900,47.3
1901,47.37
1902,46.94
1903,46.8
1904,46.56
1905,46.81
1906,47.08
1907,46.31
1908,46.74
1909,46.72
1910,46.8
1911,46.72
1912,46.71
1913,46.94
1914,47.46
1915,47.46
1916,46.81
1917,46.44
1918,46.63
1919,47.08
1920,47.05
1921,47.43
1922,47.14
1923,47.16
1924,47.32
1925,47.35
1926,47.71
1927,47.34
1928,47.53
1929,46.83
1930,47.53
1931,47.7
1932,47.68
1933,47.01
1934,47.53
1935,47.34
1936,47.39
1937,47.66
1938,47.95
1939,47.77
1940,47.77
1941,47.79
1942,47.71
1943,47.77
1944,47.93
1945,47.44
1946,47.62
1947,47.84
1948,47.75
1949,47.46
1950,47.07
1951,47.53
1952,47.55
1953,47.97
1954,47.41
1955,47.53
1956,46.9
1957,47.71
1958,47.79
1959,47.71
1960,47.44
1961,47.84
1962,47.75
1963,47.95
1964,47.14
1965,47.35
1966,47.48
1967,47.66
1968,47.34
1969,47.48
1970,47.66
1971,47.48
1972,47.3
1973,48.11
1974,47.25
1975,47.73
1976,47.03
1977,47.93
1978,47.64
1979,47.71
1980,48.16
1981,48.51
1982,47.55
1983,48.25
1984,47.64
1985,47.59
1986,47.89
1987,48.18
1988,48.56
1989,48.06
1990,48.61
1991,48.52
1992,47.91
1993,47.97
1994,48.27
1995,48.83
1996,48.27
1997,48.56
1998,49.14
1999,48.72
2000,48.56
2001,48.94
2002,49.23
2003,49.15
2004,48.78
2005,49.46
2006,49.15
2007,49.51
2008,48.97
2009,49.12
2010,49.46
2011,49.14
2012,49.12
2013,49.3
